datetime,location
5/21/1953,Wakkanai
5/17/1954,Wakkanai
5/17/1955,Wakkanai
5/12/1956,Wakkanai
5/18/1957,Wakkanai
5/23/1958,Wakkanai
5/3/1959,Wakkanai
5/19/1960,Wakkanai
5/11/1961,Wakkanai
5/10/1962,Wakkanai
5/12/1963,Wakkanai
5/16/1964,Wakkanai
5/18/1965,Wakkanai
,Wakkanai
,Wakkanai
,Wakkanai
,Wakkanai
,Wakkanai
,Wakkanai
,Wakkanai
5/20/1973,Wakkanai
5/19/1974,Wakkanai
5/19/1975,Wakkanai
5/20/1976,Wakkanai
5/21/1977,Wakkanai
5/16/1978,Wakkanai
5/21/1979,Wakkanai
5/25/1980,Wakkanai
5/11/1981,Wakkanai
5/16/1982,Wakkanai
5/6/1983,Wakkanai
5/24/1984,Wakkanai
5/13/1985,Wakkanai
5/13/1986,Wakkanai
5/16/1987,Wakkanai
5/15/1988,Wakkanai
5/16/1989,Wakkanai
5/6/1990,Wakkanai
5/14/1991,Wakkanai
5/17/1992,Wakkanai
5/15/1993,Wakkanai
5/16/1994,Wakkanai
5/8/1995,Wakkanai
5/20/1996,Wakkanai
5/15/1997,Wakkanai
5/11/1998,Wakkanai
5/14/1999,Wakkanai
5/18/2000,Wakkanai
5/17/2001,Wakkanai
4/29/2002,Wakkanai
5/10/2003,Wakkanai
5/10/2004,Wakkanai
5/23/2005,Wakkanai
5/18/2006,Wakkanai
5/15/2007,Wakkanai
5/2/2008,Wakkanai
5/10/2009,Wakkanai
5/22/2010,Wakkanai
5/19/2011,Wakkanai
5/14/2012,Wakkanai
5/26/2013,Wakkanai
5/11/2014,Wakkanai
5/3/2015,Wakkanai
5/13/2016,Wakkanai
5/9/2017,Wakkanai
5/12/2018,Wakkanai
5/7/2019,Wakkanai
5/10/2020,Wakkanai
5/8/2021,Wakkanai
5/6/2022,Wakkanai
5/8/1953,Rumoi
5/11/1954,Rumoi
5/13/1955,Rumoi
5/8/1956,Rumoi
5/10/1957,Rumoi
5/12/1958,Rumoi
,Rumoi
,Rumoi
5/7/1961,Rumoi
5/9/1962,Rumoi
5/13/1963,Rumoi
5/8/1964,Rumoi
5/18/1965,Rumoi
5/16/1966,Rumoi
5/11/1967,Rumoi
5/8/1968,Rumoi
5/16/1969,Rumoi
5/9/1970,Rumoi
5/17/1971,Rumoi
,Rumoi
5/12/1973,Rumoi
5/15/1974,Rumoi
5/8/1975,Rumoi
5/14/1976,Rumoi
5/14/1977,Rumoi
5/12/1978,Rumoi
5/17/1979,Rumoi
5/20/1980,Rumoi
5/9/1981,Rumoi
5/10/1982,Rumoi
4/30/1983,Rumoi
5/22/1984,Rumoi
5/11/1985,Rumoi
5/9/1986,Rumoi
5/9/1987,Rumoi
5/9/1988,Rumoi
5/3/1989,Rumoi
4/26/1990,Rumoi
5/7/1991,Rumoi
5/12/1992,Rumoi
5/12/1993,Rumoi
5/14/1994,Rumoi
5/5/1995,Rumoi
5/20/1996,Rumoi
5/12/1997,Rumoi
4/29/1998,Rumoi
5/14/1999,Rumoi
5/13/2000,Rumoi
5/11/2001,Rumoi
4/26/2002,Rumoi
5/9/2003,Rumoi
5/10/2004,Rumoi
5/20/2005,Rumoi
5/14/2006,Rumoi
5/11/2007,Rumoi
4/29/2008,Rumoi
,Rumoi
,Rumoi
,Rumoi
,Rumoi
,Rumoi
,Rumoi
,Rumoi
,Rumoi
,Rumoi
,Rumoi
,Rumoi
,Rumoi
,Rumoi
,Rumoi
5/11/1953,Asahikawa
5/13/1954,Asahikawa
5/9/1955,Asahikawa
5/7/1956,Asahikawa
5/9/1957,Asahikawa
5/10/1958,Asahikawa
5/8/1959,Asahikawa
5/13/1960,Asahikawa
5/8/1961,Asahikawa
5/8/1962,Asahikawa
5/10/1963,Asahikawa
5/12/1964,Asahikawa
5/15/1965,Asahikawa
5/14/1966,Asahikawa
5/5/1967,Asahikawa
5/2/1968,Asahikawa
5/6/1969,Asahikawa
5/7/1970,Asahikawa
5/12/1971,Asahikawa
4/30/1972,Asahikawa
5/9/1973,Asahikawa
5/13/1974,Asahikawa
5/8/1975,Asahikawa
5/11/1976,Asahikawa
5/13/1977,Asahikawa
5/8/1978,Asahikawa
5/12/1979,Asahikawa
5/16/1980,Asahikawa
5/5/1981,Asahikawa
5/5/1982,Asahikawa
4/27/1983,Asahikawa
5/14/1984,Asahikawa
5/3/1985,Asahikawa
5/6/1986,Asahikawa
5/9/1987,Asahikawa
5/7/1988,Asahikawa
5/3/1989,Asahikawa
4/28/1990,Asahikawa
5/5/1991,Asahikawa
5/9/1992,Asahikawa
5/8/1993,Asahikawa
5/11/1994,Asahikawa
5/2/1995,Asahikawa
5/7/1996,Asahikawa
5/5/1997,Asahikawa
4/23/1998,Asahikawa
5/4/1999,Asahikawa
5/9/2000,Asahikawa
5/4/2001,Asahikawa
4/23/2002,Asahikawa
5/2/2003,Asahikawa
5/6/2004,Asahikawa
5/14/2005,Asahikawa
